iter	Passed	Remaining
585	28919	20431
586	28955	20372
587	29017	20332
588	29067	20283
589	29126	20240
590	29177	20192
591	29235	20149
592	29297	20108
593	29340	20054
594	29388	20003
595	29445	19959
596	29497	19911
597	29531	19852
598	29590	19809
599	29635	19756
600	29687	19709
601	29744	19664
602	29792	19614
603	29843	19565
604	29903	19523
605	29961	19479
606	29992	19418
607	30033	19363
608	30086	19316
609	30129	19262
610	30183	19216
611	30239	19171
612	30296	19126
613	30327	19066
614	30377	19016
615	30436	18973
616	30492	18927
617	30530	18871
618	30580	18822
619	30622	18768
620	30673	18719
621	30730	18675
622	30789	18631
623	30820	18571
624	30872	18523
625	30931	18479
626	30992	18437
627	31027	18379
628	31087	18336
629	31133	18284
630	31186	18237
631	31244	18193
632	31295	18144
633	31354	18100
634	31400	18049
635	31432	17989
636	31488	17943
637	31533	17892
638	31585	17844
639	31628	17790
640	31686	17746
641	31743	17701
642	31790	17650
643	31845	17604
644	31901	17557
645	31940	17502
646	31984	17450
647	32036	17402
648	32081	17350
649	32118	17294
650	32176	17249
651	32244	17210
652	32294	17161
653	32353	17116
654	32384	17057
655	32434	17008
656	32492	16963
657	32552	16919
658	32583	16860
659	32634	16811
660	32692	16766
661	32734	16713
662	32783	16663
663	32834	16615
664	32892	16569
665	32934	16516
666	32989	16469
667	33031	16416
668	33087	16370
669	33140	16323
670	33200	16278
671	33257	16232
672	33295	16177
673	33347	16129
674	33405	16084
675	33465	16039
676	33509	15987
677	33560	15938
678	33602	15885
679	33652	15836
680	33707	15789
681	33741	15732
682	33793	15684
683	33851	15639
684	33908	15593
685	33942	15536
686	33993	15487
687	34052	15442
688	34112	15397
689	34159	15346
690	34198	15292
691	34247	15243
692	34303	15196
693	34352	15146
694	34413	15102
695	34444	15044
696	34496	14996
697	34554	14950
698	34609	14903
699	34656	14852
700	34708	14804
701	34771	14760
702	34819	14710
703	34861	14657
704	34899	14603
705	34956	14556
706	35008	14508
707	35056	14458
708	35086	14400
709	35136	14351
710	35196	14306
711	35249	14258
712	35304	14210
713	35355	14161
714	35397	14109
715	35452	14062
716	35511	14016
717	35566	13969
718	35618	13920
719	35668	13871
720	35729	13826
721	35789	13780
722	35840	13731
723	35899	13685
724	35949	13635
725	36002	13587
726	36038	13532
727	36094	13486
728	36145	13436
729	36205	13390
730	36264	13344
731	36313	13295
732	36362	13245
733	36393	13188
734	36442	13139
735	36498	13091
736	36549	13042
737	36608	12996
738	36652	12944
739	36687	12890
740	36739	12841
741	36790	12792
742	36829	12739
743	36888	12692
744	36929	12640
745	36965	12586
746	37015	12536
747	37072	12489
748	37123	12440
749	37182	12394
750	37239	12347
751	37288	12297
752	37346	12250
753	37379	12195
754	37429	12146
755	37487	12099
756	37527	12046
757	37558	11990
758	37613	11943
759	37670	11895
760	37726	11848
761	37789	11802
762	37840	11753
763	37900	11707
764	37956	11659
765	38010	11611
766	38067	11564
767	38124	11516
768	38172	11466
769	38218	11415
770	38278	11369
771	38329	11319
772	38398	11276
773	38458	11229
774	38515	11181
775	38560	11130
776	38617	11083
777	38658	11030
778	38705	10980
779	38766	10934
780	38797	10879
781	38847	10829
782	38903	10781
783	38950	10731
784	38988	10678
785	39049	10631
786	39089	10579
787	39136	10529
788	39180	10478
789	39232	10428
790	39295	10382
791	39353	10335
792	39407	10286
793	39465	10239
794	39521	10191
795	39553	10136
796	39601	10086
797	39653	10037
798	39691	9985
799	39731	9932
800	39786	9884
801	39841	9836
802	39897	9788
803	39952	9739
804	40012	9692
805	40064	9643
806	40122	9595
807	40178	9547
808	40225	9497
809	40278	9447
810	40330	9398
811	40387	9350
812	40440	9301
813	40500	9254
814	40558	9206
815	40609	9157
816	40667	9109
817	40712	9058
818	40755	9007
819	40817	8959
820	40858	8908
821	40912	8859
822	40969	8811
823	41015	8760
824	41073	8712
825	41131	8664
826	41192	8617
827	41249	8568
828	41303	8519
829	41358	8470
830	41401	8419
831	41458	8371
832	41515	8323
833	41573	8274
834	41639	8228
835	41698	8180
836	41755	8131
837	41813	8083
838	41864	8033
839	41919	7984
840	41968	7934
841	42011	7883
842	42064	7834
843	42123	7785
844	42181	7737
845	42237	7688
846	42289	7639
847	42342	7589
848	42399	7540
849	42432	7488
850	42486	7438
851	42538	7389
852	42576	7337
853	42641	7289
854	42700	7241
855	42748	7191
856	42801	7141
857	42861	7093
858	42919	7044
859	42979	6996
860	43035	6947
861	43093	6898
862	43152	6850
863	43205	6800
864	43251	6750
865	43303	6700
866	43345	6649
867	43394	6599
868	43448	6549
869	43493	6499
870	43550	6450
871	43605	6400
872	43660	6351
873	43718	6302
874	43760	6251
875	43792	6198
876	43836	6148
877	43886	6098
878	43942	6048
879	43986	5998
880	44016	5945
881	44066	5895
882	44125	5846
883	44157	5794
884	44210	5744
885	44259	5694
886	44317	5645
887	44376	5597
888	44430	5547
889	44489	5498
890	44542	5449
891	44592	5399
892	44636	5348
893	44700	5300
894	44763	5251
895	44819	5202
896	44878	5153
897	44922	5102
898	44973	5052
899	45019	5002
900	45077	4952
901	45131	4903
902	45191	4854
903	45248	4805
904	45292	4754
905	45324	4702
906	45381	4653
907	45439	4604
908	45487	4553
909	45522	4502
910	45575	4452
911	45612	4401
912	45660	4350
913	45714	4301
914	45752	4250
915	45804	4200
916	45845	4149
917	45893	4099
918	45947	4049
919	45997	3999
920	46049	3949
921	46101	3900
922	46150	3850
923	46203	3800
924	46251	3750
925	46309	3700
926	46364	3651
927	46414	3601
928	46449	3549
929	46500	3500
930	46547	3449
931	46596	3399
932	46633	3348
933	46694	3299
934	46743	3249
935	46798	3199
936	46854	3150
937	46904	3100
938	46958	3050
939	47001	3000
940	47045	2949
941	47095	2899
942	47130	2848
943	47188	2799
944	47236	2749
945	47296	2699
946	47350	2650
947	47397	2599
948	47459	2550
949	47514	2500
950	47553	2450
951	47601	2400
952	47660	2350
953	47718	2300
954	47776	2251
955	47813	2200
956	47873	2151
957	47947	2102
958	48005	2052
959	48036	2001
960	48092	1951
961	48158	1902
962	48222	1852
963	48278	1802
964	48319	1752
965	48378	1702
966	48441	1653
967	48503	1603
968	48540	1552
969	48603	1503
970	48657	1453
971	48710	1403
972	48755	1352
973	48815	1303
974	48876	1253
975	48932	1203
976	48989	1153
977	49041	1103
978	49102	1053
979	49146	1002
980	49190	952
981	49246	902
982	49294	852
983	49335	802
984	49382	752
985	49434	701
986	49487	651
987	49525	601
988	49583	551
989	49626	501
990	49663	451
991	49709	400
992	49757	350
993	49812	300
994	49867	250
995	49898	200
996	49946	150
997	49991	100
998	50035	50
999	50087	0
